"Request ID","Function ID","Arrival Time","Start Time","Finish Time","ExecutionTime","Response Time"
"1","9","1","3.02","-1","-4.02","-2"
"2","23","1","3.02","3.51","0.49","2.51"
"3","10","1","3.02","7.02","4","6.02"
"4","9","1","3.02","4.48","1.46","3.48"
"5","9","1","3.02","-1","-4.02","-2"
"6","9","1","3.02","4.35","1.32","3.35"
"7","9","1","3.03","4.5","1.47","3.5"
"8","22","1.01","3.03","-1","-4.03","-2.01"
"9","9","1.01","3.03","16.55","13.52","15.54"
"10","10","1.01","3.03","7.7","4.67","6.69"
"11","1","1.02","3.04","3.86","0.82","2.84"
"12","23","1.03","3.05","4.35","1.3","3.32"
"13","17","1.04","3.06","3.57","0.51","2.53"
"14","9","1.06","3.08","3.75","0.67","2.69"
"15","9","1.06","3.08","4.55","1.47","3.49"
"16","9","1.08","3.1","4.57","1.47","3.49"
"17","9","1.13","3.15","16.67","13.52","15.54"
"18","9","1.17","3.19","4.24","1.05","3.07"
"19","9","1.54","3.56","17.08","13.52","15.54"
"20","9","1.93","3.95","4.95","1","3.02"
"21","9","1.94","3.96","4.63","0.67","2.69"
"22","9","1.95","3.97","4.83","0.86","2.88"
"23","9","1.96","3.98","4.98","1","3.02"
"24","9","2.17","4.19","5.19","1","3.02"
"25","9","2.18","4.2","4.97","0.77","2.79"
"26","10","2.48","4.5","7.27","2.77","4.79"
"27","9","2.6","4.62","5.39","0.77","2.79"
"28","9","2.98","5","6.05","1.05","3.07"
"29","9","3.11","5.13","5.99","0.86","2.88"
"30","9","3.11","5.13","5.81","0.67","2.7"
"31","9","3.32","5.34","6.11","0.77","2.79"
"32","9","3.38","5.4","6.17","0.77","2.79"
"33","9","3.5","5.52","19.04","13.52","15.54"
"35","23","3.87","5.89","8.19","2.3","4.32"
"36","16","4.08","6.1","6.6","0.5","2.52"
"39","10","4.62","6.64","9.45","2.81","4.83"
"43","3","5.39","7.41","7.85","0.44","2.46"
"44","23","5.61","7.63","8.63","1","3.02"
"51","23","13.39","15.41","15.66","0.25","2.27"
"53","23","35.54","37.56","37.81","0.25","2.27"
"57","9","41.92","43.94","45.12","1.18","3.2"
"58","9","41.92","43.94","45.12","1.18","3.2"
"59","8","41.96","43.98","45.25","1.27","3.29"
"60","9","41.96","43.98","45.35","1.37","3.39"
"61","9","41.96","43.98","44.98","1","3.02"
"62","9","41.96","43.98","44.76","0.77","2.8"
"63","17","41.96","43.98","47.91","3.92","5.95"
"64","9","41.96","43.98","44.66","0.67","2.7"
"65","9","41.96","43.99","-1","-44.99","-42.96"
"66","9","41.96","43.99","44.85","0.86","2.89"
"67","9","41.96","43.99","44.66","0.67","2.7"
"68","11","41.97","43.99","46.16","2.17","4.19"
"69","9","41.97","43.99","44.73","0.74","2.76"
"70","23","41.99","44.01","44.26","0.25","2.27"
"73","1","52.7","54.72","57.89","3.17","5.19"
"74","16","54.6","56.62","58.25","1.63","3.65"
"76","10","62.8","64.82","66.21","1.39","3.41"
"78","9","69.74","71.76","73.2","1.44","3.46"
"81","21","93.44","95.46","96.37","0.91","2.93"
"82","9","101.37","103.39","104.32","0.93","2.95"
"85","9","114.17","116.19","117.47","1.28","3.3"
"86","9","114.24","116.26","117.31","1.05","3.07"
"89","23","122.61","124.63","125.1","0.47","2.49"
"95","10","124.62","126.64","129.04","2.4","4.42"
"99","1","125.67","127.69","132.55","4.86","6.88"
"101","3","126.21","128.23","138.94","10.71","12.73"
"103","9","126.74","128.76","130.23","1.47","3.49"
"104","9","126.98","129","129.67","0.67","2.69"
"106","9","127.26","129.28","129.95","0.67","2.69"
"117","13","151.29","153.31","155.28","1.97","3.99"
"120","9","160.06","162.08","163.08","1","3.02"
"122","23","166.25","168.27","187.45","19.18","21.2"
"124","9","167.17","169.19","182.71","13.52","15.54"
"127","16","170.2","172.22","173.22","1","3.02"
"128","19","171.05","173.07","180.62","7.55","9.57"
"129","1","171.39","173.41","176.9","3.49","5.51"
"140","23","188.45","190.47","190.76","0.29","2.31"
"141","23","190.25","192.27","-1","-193.27","-191.25"
"146","7","202.45","204.47","205.87","1.4","3.42"
"149","9","205.97","207.99","-1","-208.99","-206.97"
"157","10","220.97","222.99","225.21","2.22","4.24"
"158","10","222.06","224.08","226.93","2.85","4.87"
"169","8","240.97","242.99","244.43","1.44","3.46"
"172","1","242.7","244.72","245.64","0.92","2.94"
"175","9","244.15","246.17","248.08","1.91","3.93"
"176","9","244.36","246.38","250.01","3.63","5.65"
"177","10","244.57","246.59","251.91","5.32","7.34"
"178","9","244.79","246.81","247.58","0.77","2.79"
"179","23","245.04","247.06","250.94","3.88","5.9"
"182","9","245.54","247.56","248.61","1.05","3.07"
"183","23","245.56","247.58","250.05","2.47","4.49"
"184","23","245.77","247.79","248.41","0.62","2.64"
"185","9","245.99","248.01","248.78","0.77","2.79"
"186","9","246.21","248.23","261.75","13.52","15.54"
"187","16","246.43","248.45","248.84","0.39","2.41"
"188","9","246.64","248.66","249.4","0.74","2.76"
"189","9","246.83","248.85","249.9","1.05","3.07"
"192","23","256.57","258.59","259.59","1","3.02"
"193","23","265.81","267.83","-1","-268.83","-266.81"
"195","9","266.79","268.81","270.98","2.17","4.19"
"197","10","275","277.02","-1","-278.02","-276"
"202","9","289.57","291.59","292.37","0.78","2.8"
"205","9","300.98","303","304.16","1.16","3.18"
"207","9","301","303.02","-1","-304.02","-302"
"208","9","301","303.02","304.51","1.49","3.51"
"209","1","301.02","303.04","313.48","10.44","12.46"
"210","9","301.02","303.04","304.86","1.82","3.84"
"211","9","301.02","303.04","303.82","0.77","2.8"
"212","10","312.18","314.2","316.56","2.36","4.38"
"223","9","338.22","340.24","341.55","1.31","3.33"
"227","23","361","363.02","363.68","0.66","2.68"
"229","23","361.01","363.03","364.64","1.61","3.63"
"231","11","363.08","365.1","365.71","0.61","2.63"
"234","9","364.17","366.19","367.67","1.48","3.5"
"235","9","364.36","366.38","367.89","1.51","3.53"
"236","10","364.57","366.59","370.42","3.83","5.85"
"238","1","364.99","367.01","367.97","0.96","2.98"
"240","9","365.44","367.46","369.51","2.05","4.07"
"241","23","365.67","367.69","367.94","0.25","2.27"
"242","23","365.88","367.9","368.21","0.31","2.33"
"243","23","366.09","368.11","-1","-369.11","-367.09"
"244","9","366.28","368.3","369.04","0.74","2.76"
"245","1","366.48","368.5","380.73","12.23","14.25"
"249","23","369.24","371.26","-1","-372.26","-370.24"
"253","17","381.68","383.7","384.15","0.45","2.47"
"259","9","383.11","385.13","-1","-386.13","-384.11"
"267","10","386.75","388.77","-1","-389.77","-387.75"
"268","10","386.84","388.86","-1","-389.86","-387.84"
"270","9","387.49","389.51","390.57","1.06","3.08"
"271","16","387.49","389.51","-1","-390.51","-388.49"
"272","16","387.62","389.64","392.64","3","5.02"
"274","23","387.86","389.88","391.83","1.95","3.97"
"275","9","387.86","389.88","390.66","0.77","2.8"
"276","9","388.2","390.22","391.22","1","3.02"
"277","11","388.2","390.22","394.59","4.37","6.39"
"278","9","388.3","390.32","391.37","1.05","3.07"
"279","10","388.3","390.32","397.3","6.98","9"
"280","11","388.34","390.36","393.43","3.07","5.09"
"281","23","388.34","390.36","390.67","0.31","2.33"
"283","9","388.51","390.53","391.58","1.05","3.07"
"284","9","388.68","390.7","392.17","1.47","3.49"
"285","9","388.68","390.7","391.57","0.86","2.89"
"286","5","388.83","390.85","393.9","3.05","5.07"
"287","9","388.83","390.85","391.63","0.77","2.8"
"289","9","389.4","391.42","392.89","1.47","3.49"
"290","9","389.47","391.49","405.01","13.52","15.54"
"292","7","389.53","391.55","396.1","4.55","6.57"
"293","16","389.53","391.55","392.21","0.66","2.68"
"294","9","389.64","391.66","392.71","1.05","3.07"
"295","9","389.66","391.68","392.35","0.67","2.69"
"296","9","389.8","391.82","392.87","1.05","3.07"
"297","10","389.8","391.82","-1","-392.82","-390.8"
"298","9","389.99","392.01","393.06","1.05","3.07"
"299","9","389.99","392.01","392.75","0.74","2.76"
"301","9","390.13","392.15","393.02","0.86","2.89"
"302","9","390.19","392.21","392.98","0.77","2.79"
"303","9","390.19","392.21","392.89","0.67","2.7"
"309","11","391.28","393.3","394.46","1.16","3.18"
"313","1","391.95","393.97","-1","-394.97","-392.95"
"315","17","392.08","394.1","394.96","0.86","2.88"
"316","10","392.98","395","397.28","2.28","4.3"
"322","10","393.62","395.64","398.78","3.14","5.16"
"325","23","393.73","395.75","398.6","2.85","4.87"
"326","10","394.14","396.16","398.38","2.22","4.24"
"332","10","395.33","397.35","399.14","1.79","3.81"
"333","1","395.33","397.35","408.23","10.88","12.9"
"336","8","396.35","398.37","-1","-399.37","-397.35"
"337","18","396.35","398.37","-1","-399.37","-397.35"
"338","10","396.46","398.48","400.01","1.53","3.55"
"348","8","397.44","399.46","-1","-400.46","-398.44"
"357","1","399","401.02","-1","-402.02","-400"
"359","23","399.03","401.05","-1","-402.05","-400.03"
"365","23","399.36","401.38","402.61","1.23","3.25"
"367","23","399.42","401.44","-1","-402.44","-400.42"
"368","23","399.42","401.44","404.34","2.9","4.92"
"372","1","399.52","401.54","402.84","1.3","3.32"
"377","17","399.9","401.92","403.71","1.79","3.81"
"378","1","399.9","401.92","418.42","16.5","18.52"
"379","16","399.94","401.96","-1","-402.96","-400.94"
"384","23","400.05","402.07","403.07","1","3.02"
"386","13","400.08","402.1","410.31","8.21","10.23"
"390","16","400.17","402.19","402.79","0.6","2.62"
"391","23","400.42","402.44","403.45","1.01","3.03"
"396","23","400.63","402.65","403.32","0.66","2.69"
"399","10","400.65","402.67","406.11","3.44","5.46"
"400","10","400.65","402.67","-1","-403.67","-401.65"
"402","23","400.68","402.7","402.99","0.29","2.31"
"404","17","400.71","402.73","403.46","0.73","2.75"
"406","23","400.98","403","403.29","0.29","2.31"
"408","1","400.99","403.01","404.31","1.3","3.32"
"409","23","401.01","403.03","403.28","0.25","2.27"
"412","23","401.08","403.1","403.77","0.66","2.69"
"413","23","401.68","403.7","-1","-404.7","-402.68"
"420","10","403.36","405.38","407.33","1.94","3.97"
"421","10","403.41","405.43","-1","-406.43","-404.41"
"422","10","403.41","405.43","-1","-406.43","-404.41"
"471","1","408.67","410.69","411.69","1","3.02"
"473","8","408.76","410.78","413.96","3.18","5.2"
"487","8","409.46","411.48","-1","-412.48","-410.46"
"504","16","410.74","412.76","414.1","1.34","3.36"
"508","16","411.39","413.41","414.75","1.34","3.36"
"513","23","411.58","413.6","415.17","1.57","3.59"
"514","22","411.58","413.6","413.79","0.19","2.21"
"515","8","411.58","413.6","417.52","3.92","5.94"
"516","1","411.88","413.9","426.63","12.73","14.75"
"518","16","411.94","413.96","417.55","3.59","5.61"
"519","23","411.94","413.96","414.21","0.25","2.27"
"524","17","412.28","414.3","426.62","12.32","14.34"
"525","17","412.28","414.3","426.62","12.32","14.34"
"530","21","412.43","414.45","417.58","3.13","5.15"
"531","16","412.43","414.45","-1","-415.45","-413.43"
"533","23","412.47","414.49","414.8","0.31","2.33"
"536","23","412.68","414.7","414.95","0.25","2.27"
"537","17","412.68","414.7","416.81","2.11","4.13"
"540","9","412.85","414.87","416.79","1.92","3.94"
"544","10","413.39","415.41","423.89","8.48","10.5"
"550","10","413.91","415.93","423.82","7.89","9.91"
"558","2","415.21","417.23","-1","-418.23","-416.21"
"573","9","416.01","418.03","-1","-419.03","-417.01"
"574","9","416.02","418.04","419.09","1.05","3.07"
"575","21","416.02","418.04","428.2","10.15","12.18"
"579","9","416.1","418.12","418.9","0.77","2.8"
"581","9","416.13","418.15","418.89","0.74","2.76"
"583","9","416.19","418.21","418.99","0.77","2.8"
"584","9","416.21","418.23","-1","-419.23","-417.21"
"585","9","416.21","418.23","419.1","0.86","2.89"
"587","9","416.24","418.26","419.13","0.86","2.89"
"588","9","416.29","418.31","419.78","1.47","3.49"
"589","9","416.29","418.31","419.36","1.05","3.07"
"593","9","416.5","418.52","419.57","1.05","3.07"
"598","9","416.75","418.77","419.64","0.86","2.89"
"599","9","416.75","418.77","419.64","0.86","2.89"
"606","9","417.3","419.32","420.37","1.05","3.07"
"607","9","417.3","419.32","-1","-420.32","-418.3"
"608","9","417.48","419.5","-1","-420.5","-418.48"
"609","9","417.48","419.5","420.28","0.77","2.8"
