"clock","utilization","count","workload usage"
"1.22","0.66","2.57","1.7226"
"1.43","0.74","3","2.2106"
"1.64","0.76","3","2.2811"
"1.85","0.79","3","2.3835"
"2.06","0.77","3.54","2.7045"
"2.26","0.74","4.34","3.1832"
"2.47","0.68","5","3.4211"
"2.68","0.69","5","3.4682"
"2.89","0.72","5","3.5941"
"3.1","0.73","5","3.6715"
"3.31","0.7","5.82","4.052"
"3.51","0.72","6","4.3453"
"3.72","0.67","6.95","4.6234"
"3.93","0.66","7","4.6317"
"4.14","0.66","7","4.6317"
"4.35","0.66","7","4.6317"
"4.56","0.66","7","4.6317"
"4.76","0.66","7","4.6317"
"4.97","0.66","7","4.6317"
"5.18","0.66","7","4.6317"
"5.39","0.66","7","4.6317"
"5.6","0.66","7","4.6317"
"5.81","0.67","7","4.6635"
"6.01","0.67","7","4.6703"
"6.22","0.67","7","4.6703"
"6.43","0.67","7","4.6703"
"6.64","0.67","7","4.6703"
"6.85","0.67","7","4.6703"
"7.06","0.67","7","4.6703"
"7.26","0.67","7","4.6703"
"7.47","0.67","7","4.6703"
"7.68","0.67","7","4.6703"
"7.89","0.67","7","4.6703"
"8.1","0.67","7","4.6703"
"8.31","0.67","7","4.6703"
"8.51","0.67","7","4.6703"
"8.72","0.67","7","4.6703"
"8.93","0.67","7","4.6703"
"9.14","0.67","7","4.6703"
"9.35","0.67","7","4.6703"
"9.56","0.67","7","4.6703"
"9.76","0.67","7","4.6703"
"9.97","0.67","7","4.6703"
"10.18","0.67","7","4.6703"
"10.39","0.67","7","4.6703"
"10.6","0.67","7","4.6703"
"10.81","0.67","7","4.6703"
"11.01","0.67","7","4.6703"
"11.22","0.67","7","4.6703"
"11.43","0.67","7","4.6703"
"11.64","0.67","7","4.6703"
"11.85","0.67","7","4.6703"
"12.06","0.67","7","4.6703"
"12.26","0.67","7","4.6703"
"12.47","0.67","7","4.6703"
"12.68","0.67","7","4.6703"
"12.89","0.67","7","4.6703"
"13.1","0.67","7","4.6703"
"13.31","0.67","7","4.6703"
"13.51","0.67","7","4.6888"
"13.72","0.67","7","4.7089"
"13.93","0.67","7","4.7089"
"14.14","0.67","7","4.7089"
"14.35","0.67","7","4.7089"
"14.56","0.67","7","4.7089"
"14.76","0.67","7","4.7089"
"14.97","0.67","7","4.7089"
"15.18","0.67","7","4.7089"
"15.39","0.67","7","4.7089"
"15.6","0.67","7","4.7089"
"15.81","0.67","7","4.7089"
"16.01","0.67","7","4.7089"
"16.22","0.67","7","4.7089"
"16.43","0.67","7","4.7089"
"16.64","0.67","7","4.7089"
"16.85","0.67","7","4.7089"
"17.06","0.67","7","4.7089"
"17.26","0.67","7","4.7089"
"17.47","0.67","7","4.7089"
"17.68","0.67","7","4.7089"
"17.89","0.67","7","4.7089"
"18.1","0.67","7","4.7089"
"18.31","0.67","7","4.7089"
"18.51","0.67","7","4.7089"
"18.72","0.67","7","4.7089"
"18.93","0.67","7","4.7089"
"19.14","0.67","7","4.7089"
"19.35","0.67","7","4.7089"
"19.56","0.67","7","4.7089"
"19.76","0.67","7","4.7089"
"19.97","0.67","7","4.7089"
"20.18","0.67","7","4.7089"
"20.39","0.67","7","4.7089"
"20.6","0.67","7","4.7089"
"20.81","0.67","7","4.7089"
"21.01","0.67","7","4.7089"
"21.22","0.67","7","4.7089"
"21.43","0.67","7","4.7089"
