"Request ID","Function ID","Arrival Time","Start Time","Finish Time","ExecutionTime","Response Time"
"1","1","1","3.02","3.92","0.9","2.92"
"5","1","1","3.02","3.92","0.9","2.92"
"11","1","1.02","3.04","3.94","0.9","2.92"
"12","1","1.03","3.05","3.95","0.9","2.92"
"13","1","1.04","3.06","3.96","0.9","2.92"
"17","1","1.13","3.15","4.07","0.92","2.94"
"7","8","1","3.03","4.1","1.08","3.1"
"19","1","1.54","3.56","4.52","0.96","2.98"
"4","2","1","3.02","4.65","1.63","3.65"
"8","2","1.01","3.03","4.66","1.63","3.65"
"9","2","1.01","3.03","4.66","1.63","3.65"
"10","2","1.01","3.03","4.66","1.63","3.65"
"14","2","1.06","3.08","4.72","1.64","3.66"
"15","2","1.06","3.08","4.72","1.64","3.66"
"18","2","1.17","3.19","4.86","1.67","3.69"
"2","3","1","3.02","4.88","1.86","3.88"
"3","3","1","3.02","4.88","1.86","3.88"
"22","1","1.95","3.97","4.97","1","3.02"
"21","2","1.94","3.96","5.13","1.17","3.19"
"23","2","1.96","3.98","5.15","1.17","3.19"
"24","2","2.17","4.19","5.36","1.17","3.19"
"25","2","2.18","4.2","5.37","1.17","3.19"
"16","5","1.08","3.1","5.5","2.4","4.42"
"38","1","4.55","4.57","5.61","1.04","1.06"
"26","2","2.48","4.5","5.67","1.17","3.19"
"20","2","1.93","3.95","5.73","1.78","3.8"
"27","2","2.6","4.62","5.79","1.17","3.19"
"6","4","1","3.02","5.82","2.79","4.82"
"40","1","4.78","4.8","5.85","1.05","1.07"
"31","1","3.32","5.34","6.01","0.67","2.69"
"28","2","2.98","5","6.17","1.17","3.19"
"34","1","3.58","5.6","6.27","0.67","2.69"
"29","2","3.11","5.13","6.3","1.17","3.19"
"30","2","3.11","5.13","6.31","1.17","3.2"
"44","1","5.61","5.63","6.67","1.04","1.06"
"33","2","3.5","5.52","6.69","1.17","3.19"
"45","1","5.84","5.86","6.91","1.05","1.07"
"42","2","5.19","5.21","7.03","1.82","1.84"
"41","3","5","5.02","7.07","2.05","2.07"
"43","2","5.39","5.41","7.23","1.82","1.84"
"36","2","4.08","6.1","7.27","1.17","3.19"
"47","1","6.26","6.28","7.33","1.05","1.07"
"32","3","3.38","5.4","7.45","2.05","4.07"
"37","2","4.31","6.33","7.5","1.17","3.19"
"46","2","6.06","6.08","7.9","1.82","1.84"
"35","3","3.87","5.89","7.94","2.05","4.07"
"48","2","6.47","6.49","8.31","1.82","1.84"
"49","2","6.68","6.7","8.52","1.82","1.84"
"39","3","4.62","6.64","8.69","2.05","4.07"
"50","3","13.39","13.41","15.46","2.05","2.07"
"51","3","13.39","13.41","15.47","2.05","2.08"
"52","2","13.88","13.9","15.72","1.82","1.84"
"53","3","35.54","37.56","38.88","1.32","3.34"
"65","3","41.96","41.99","43.31","1.32","1.35"
"55","1","41.79","43.81","44.48","0.67","2.69"
"59","1","41.96","43.98","44.65","0.67","2.69"
"62","1","41.96","43.98","44.66","0.67","2.7"
"63","1","41.96","43.98","44.66","0.67","2.7"
"69","1","41.97","43.99","44.66","0.67","2.69"
"70","1","41.99","44.01","44.68","0.67","2.69"
"54","4","40.77","42.79","44.71","1.92","3.94"
"56","2","41.91","43.93","45.1","1.17","3.19"
"57","2","41.92","43.94","45.11","1.17","3.19"
"58","2","41.92","43.94","45.12","1.17","3.2"
"60","2","41.96","43.98","45.16","1.17","3.2"
"61","2","41.96","43.98","45.16","1.17","3.2"
"64","2","41.96","43.98","45.16","1.17","3.2"
"67","2","41.96","43.99","45.16","1.17","3.2"
"66","3","41.96","43.99","45.31","1.32","3.35"
"68","3","41.97","43.99","45.31","1.32","3.34"
"72","1","51.85","51.87","52.54","0.67","0.69"
"71","2","51.49","51.51","52.69","1.18","1.2"
"73","2","52.7","52.72","53.9","1.18","1.2"
"74","1","54.6","54.62","55.29","0.67","0.69"
"76","3","62.8","64.82","66.14","1.32","3.34"
"75","4","62.71","64.73","66.65","1.92","3.94"
"77","1","68.48","70.5","71.17","0.67","2.69"
"78","1","69.74","71.76","72.43","0.67","2.69"
"79","2","85.22","87.24","88.42","1.18","3.2"
"80","1","89.02","89.04","89.71","0.67","0.69"
"81","2","93.44","93.46","94.64","1.18","1.2"
"82","2","101.37","101.39","102.57","1.18","1.2"
"83","3","111.67","113.69","115.01","1.32","3.34"
"84","1","114.12","116.14","116.81","0.67","2.69"
"85","1","114.17","116.19","116.86","0.67","2.69"
"86","1","114.24","116.26","116.93","0.67","2.69"
"87","2","116.44","116.46","117.63","1.17","1.19"
"88","2","119.23","119.25","120.43","1.18","1.2"
"91","1","123.11","123.13","123.8","0.67","0.69"
"89","2","122.61","122.63","123.8","1.17","1.19"
"94","1","124.4","124.42","125.09","0.67","0.69"
