"Request ID","Function ID","Arrival Time","Start Time","Finish Time","ExecutionTime","Response Time"
"1","9","1","3.02","17.09","14.07","16.09"
"2","23","1","3.02","4.63","1.61","3.63"
"3","10","1","3.02","4.81","1.79","3.81"
"4","9","1","3.02","4.53","1.51","3.53"
"5","9","1","3.02","4.1","1.08","3.1"
"6","9","1","3.02","17.1","14.07","16.1"
"7","9","1","3.03","3.79","0.77","2.79"
"8","22","1.01","3.03","3.51","0.48","2.5"
"9","9","1.01","3.03","4.55","1.52","3.54"
"10","10","1.01","3.03","4.96","1.92","3.95"
"11","1","1.02","3.04","5.58","2.54","4.56"
"12","23","1.03","3.05","3.74","0.69","2.71"
"13","17","1.04","3.06","4.08","1.02","3.04"
"14","9","1.06","3.08","4.6","1.52","3.54"
"15","9","1.06","3.08","3.78","0.7","2.72"
"16","9","1.08","3.1","4.62","1.52","3.54"
"17","9","1.13","3.15","17.18","14.03","16.05"
"18","9","1.17","3.19","3.99","0.8","2.82"
"19","9","1.54","3.56","4.26","0.7","2.72"
"20","9","1.93","3.95","17.98","14.03","16.05"
"21","9","1.94","3.96","17.99","14.03","16.05"
"22","9","1.95","3.97","5.06","1.09","3.11"
"23","9","1.96","3.98","4.88","0.9","2.92"
"24","9","2.17","4.19","5.09","0.9","2.92"
"25","9","2.18","4.2","18.23","14.03","16.05"
"26","10","2.48","4.5","5.96","1.46","3.48"
"27","9","2.6","4.62","5.39","0.77","2.79"
"28","9","2.98","5","6.01","1.01","3.03"
"29","9","3.11","5.13","6","0.87","2.89"
"30","9","3.11","5.13","6.14","1.01","3.03"
"31","9","3.32","5.34","6.34","1","3.02"
"32","9","3.38","5.4","18.92","13.52","15.54"
"33","9","3.5","5.52","6.52","1","3.02"
"34","23","3.58","5.6","-1","-6.6","-4.58"
"36","16","4.08","6.1","7.12","1.02","3.04"
"39","10","4.62","6.64","7.86","1.22","3.24"
"43","3","5.39","7.41","7.94","0.53","2.55"
"57","9","41.92","43.94","44.75","0.81","2.83"
"58","9","41.92","43.94","-1","-44.94","-42.92"
"59","8","41.96","43.98","49.76","5.78","7.8"
"60","9","41.96","43.98","44.76","0.78","2.8"
"61","9","41.96","43.98","-1","-44.98","-42.96"
"62","9","41.96","43.98","44.66","0.67","2.7"
"63","17","41.96","43.98","44.25","0.26","2.29"
"64","9","41.96","43.98","44.73","0.74","2.77"
"65","9","41.96","43.99","45.46","1.47","3.5"
"66","9","41.96","43.99","-1","-44.99","-42.96"
"67","9","41.96","43.99","-1","-44.99","-42.96"
"68","11","41.97","43.99","44.1","0.11","2.13"
"69","9","41.97","43.99","45.46","1.47","3.49"
"71","10","51.49","53.51","65.39","11.88","13.9"
"73","1","52.7","54.72","55.13","0.41","2.43"
"74","16","54.6","56.62","56.84","0.22","2.24"
"76","10","62.8","64.82","76.7","11.88","13.9"
"81","21","93.44","95.46","95.65","0.19","2.21"
"82","9","101.37","103.39","104.25","0.86","2.88"
"85","9","114.17","116.19","116.98","0.79","2.81"
"86","9","114.24","116.26","117.02","0.76","2.78"
"93","10","124.21","126.23","127.45","1.22","3.24"
"95","10","124.62","126.64","136.47","9.83","11.85"
"97","9","125.1","127.12","128.62","1.5","3.52"
"98","9","125.39","127.41","128.29","0.88","2.9"
"99","1","125.67","127.69","128.17","0.48","2.5"
"101","3","126.21","128.23","129.57","1.34","3.36"
"104","9","126.98","129","142.78","13.78","15.8"
"106","9","127.26","129.28","130.05","0.77","2.79"
"107","9","127.32","129.34","130.34","1","3.02"
"114","16","142","144.02","144.66","0.64","2.66"
"115","9","147.82","149.84","150.52","0.68","2.7"
"116","22","149.09","151.11","154.29","3.18","5.2"
"117","13","151.29","153.31","154.66","1.35","3.37"
"119","23","157.17","159.19","159.5","0.31","2.33"
"121","16","161.41","163.43","165.07","1.64","3.66"
"124","9","167.17","169.19","170.24","1.05","3.07"
"126","9","170.05","172.07","173.12","1.05","3.07"
"128","19","171.05","173.07","173.12","0.05","2.07"
"129","1","171.39","173.41","173.82","0.41","2.43"
"146","7","202.45","204.47","205.47","1","3.02"
"158","10","222.06","224.08","233.73","9.65","11.67"
"166","17","234.88","236.9","-1","-237.9","-235.88"
"170","9","241","243.02","243.9","0.88","2.9"
"172","1","242.7","244.72","245.13","0.41","2.43"
"173","9","243.08","245.1","246.14","1.04","3.06"
"174","9","243.78","245.8","246.5","0.7","2.72"
"178","9","244.79","246.81","247.9","1.09","3.11"
"179","23","245.04","247.06","-1","-248.06","-246.04"
"181","9","245.31","247.33","248.1","0.77","2.79"
"183","23","245.56","247.58","-1","-248.58","-246.56"
"184","23","245.77","247.79","248.79","1","3.02"
"187","16","246.43","248.45","248.61","0.16","2.18"
"207","9","301","303.02","304.49","1.47","3.49"
"208","9","301","303.02","304.52","1.5","3.52"
"209","1","301.02","303.04","303.47","0.43","2.45"
"210","9","301.02","303.04","304.06","1.02","3.04"
"211","9","301.02","303.04","304.06","1.02","3.04"
"231","11","363.08","365.1","365.46","0.36","2.38"
"233","9","363.97","365.99","366.99","1","3.02"
"234","9","364.17","366.19","366.96","0.77","2.79"
"235","9","364.36","366.38","367.12","0.74","2.76"
"237","9","364.78","366.8","367.54","0.74","2.76"
"238","1","364.99","367.01","367.43","0.42","2.44"
"239","9","365.23","367.25","368.11","0.86","2.88"
"240","9","365.44","367.46","368.93","1.47","3.49"
"242","23","365.88","367.9","368.19","0.29","2.31"
"243","23","366.09","368.11","368.77","0.66","2.68"
"244","9","366.28","368.3","381.82","13.52","15.54"
"245","1","366.48","368.5","370.96","2.46","4.48"
"250","17","373.92","375.94","376.4","0.46","2.48"
"267","10","386.75","388.77","390.53","1.76","3.78"
"268","10","386.84","388.86","390.38","1.52","3.54"
"271","16","387.49","389.51","389.67","0.16","2.18"
"272","16","387.62","389.64","390.28","0.64","2.66"
"273","22","387.62","389.64","401.42","11.78","13.8"
"277","11","388.2","390.22","394.64","4.41","6.44"
"279","10","388.3","390.32","391.56","1.24","3.26"
"280","11","388.34","390.36","390.72","0.36","2.38"
"282","9","388.51","390.53","391.58","1.05","3.07"
"283","9","388.51","390.53","391.31","0.77","2.8"
"284","9","388.68","390.7","391.58","0.88","2.9"
"285","9","388.68","390.7","391.77","1.07","3.09"
"286","5","388.83","390.85","391.85","1","3.02"
"290","9","389.47","391.49","392.28","0.79","2.81"
"291","3","389.47","391.49","392.22","0.73","2.75"
"292","7","389.53","391.55","392.55","1","3.02"
"293","16","389.53","391.55","406.98","15.43","17.45"
"294","9","389.64","391.66","392.56","0.9","2.92"
"295","9","389.66","391.68","392.48","0.8","2.82"
"296","9","389.8","391.82","392.72","0.9","2.92"
"299","9","389.99","392.01","392.91","0.9","2.92"
"301","9","390.13","392.15","393.05","0.9","2.92"
"302","9","390.19","392.21","393.01","0.8","2.82"
"303","9","390.19","392.21","393.68","1.47","3.49"
"313","1","391.95","393.97","399.98","6","8.03"
"333","1","395.33","397.35","399.46","2.11","4.13"
"336","8","396.35","398.37","399.2","0.83","2.85"
"337","18","396.35","398.37","398.84","0.46","2.49"
"348","8","397.44","399.46","400.27","0.81","2.83"
"352","19","398.1","400.12","404.72","4.6","6.62"
"357","1","399","401.02","407.02","6","8.02"
"367","23","399.42","401.44","402.47","1.03","3.05"
"368","23","399.42","401.44","402.13","0.69","2.71"
"378","1","399.9","401.92","402.34","0.42","2.44"
"384","23","400.05","402.07","-1","-403.07","-401.05"
"386","13","400.08","402.1","404.08","1.98","4"
"387","9","400.08","402.1","416.15","14.05","16.07"
"388","9","400.1","402.12","402.89","0.77","2.79"
"394","10","400.62","402.64","404.38","1.74","3.76"
"396","23","400.63","402.65","403.69","1.04","3.06"
"397","19","400.63","402.65","407.83","5.17","7.2"
"399","10","400.65","402.67","412.41","9.74","11.76"
"400","10","400.65","402.67","412.42","9.75","11.77"
"404","17","400.71","402.73","403.21","0.48","2.5"
"406","23","400.98","403","403.26","0.26","2.28"
"409","23","401.01","403.03","403.72","0.69","2.71"
"412","23","401.08","403.1","403.41","0.31","2.33"
"413","23","401.68","403.7","404.7","1","3.02"
"421","10","403.41","405.43","407.58","2.15","4.17"
"422","10","403.41","405.43","407.59","2.15","4.18"
"432","10","404.33","406.35","408.51","2.15","4.18"
"483","9","408.92","410.94","412.41","1.47","3.49"
"484","9","408.92","410.94","412.41","1.47","3.49"
"500","23","410.39","412.41","414.02","1.61","3.63"
"504","16","410.74","412.76","413.81","1.05","3.07"
"506","9","410.8","412.82","414.29","1.47","3.49"
"508","16","411.39","413.41","414.46","1.05","3.07"
"518","16","411.94","413.96","414.12","0.16","2.18"
"525","17","412.28","414.3","414.78","0.48","2.5"
"530","21","412.43","414.45","415.32","0.87","2.89"
"531","16","412.43","414.45","414.67","0.22","2.24"
"532","23","412.47","414.49","415.53","1.04","3.06"
"533","23","412.47","414.49","414.75","0.26","2.28"
"537","17","412.68","414.7","415.37","0.67","2.69"
"541","23","412.85","414.87","415.2","0.33","2.35"
"550","10","413.91","415.93","417.43","1.5","3.52"
"552","17","414.1","416.12","416.77","0.65","2.67"
"558","2","415.21","417.23","418.04","0.81","2.83"
"587","9","416.24","418.26","419.04","0.78","2.8"
"589","9","416.29","418.31","419.21","0.9","2.92"
"590","9","416.49","418.51","419.21","0.7","2.72"
"591","9","416.49","418.51","419.41","0.9","2.92"
"592","9","416.5","418.52","-1","-419.52","-417.5"
"593","9","416.5","418.52","419.61","1.09","3.11"
"594","9","416.55","418.57","419.34","0.77","2.79"
"598","9","416.75","418.77","419.55","0.77","2.8"
"599","9","416.75","418.77","419.52","0.74","2.77"
"612","11","417.56","419.58","419.95","0.37","2.39"
"618","9","417.83","419.85","-1","-420.85","-418.83"
"629","7","418.82","420.84","421.87","1.03","3.05"
"688","9","422.69","424.71","425.41","0.7","2.72"
"691","9","422.73","424.75","425.75","1","3.02"
"692","9","422.74","424.76","425.81","1.05","3.07"
"693","9","422.74","424.76","425.85","1.09","3.11"
"694","9","422.74","424.76","425.85","1.09","3.11"
"695","9","422.74","424.76","425.46","0.7","2.72"
