"clock","utilization","count","workload usage"
"1.22","0.85","2.66","2.3178"
"1.43","0.95","3","2.8647"
"1.64","0.97","3","2.9199"
"1.85","1","3","3"
"2.06","0.95","3.54","3.321"
"2.26","0.95","4","3.7888"
"2.47","1","4","4"
"2.68","0.88","4.85","4.259"
"2.89","0.88","5","4.4229"
"3.1","0.9","5","4.5004"
"3.31","0.98","5","4.8809"
"3.51","0.89","5.82","5.1742"
"3.72","0.91","6","5.4523"
"3.93","0.91","6","5.4606"
"4.14","0.91","6","5.4647"
"4.35","0.91","6","5.4853"
"4.56","0.91","6","5.4853"
"4.76","0.94","6","5.6293"
"4.97","0.96","6","5.7353"
"5.18","0.96","6","5.7353"
"5.39","0.96","6","5.7353"
"5.6","0.96","6","5.7648"
"5.81","0.96","6","5.7688"
"6.01","0.96","6","5.7688"
"6.22","0.96","6","5.7688"
"6.43","0.96","6","5.7688"
"6.64","0.96","6","5.7688"
"6.85","0.96","6","5.7688"
"7.06","0.96","6","5.7688"
"7.26","0.96","6","5.7688"
"7.47","0.96","6","5.7688"
"7.68","0.96","6","5.7688"
"7.89","0.96","6","5.7688"
"8.1","0.96","6","5.7688"
"8.31","0.96","6","5.7688"
"8.51","0.96","6","5.7688"
"8.72","0.96","6","5.7688"
"8.93","0.96","6","5.7688"
"9.14","0.96","6","5.7688"
"9.35","0.96","6","5.7688"
"9.56","0.96","6","5.7688"
"9.76","0.96","6","5.7688"
"9.97","0.96","6","5.7688"
"10.18","0.96","6","5.7688"
"10.39","0.96","6","5.7688"
"10.6","0.96","6","5.7688"
"10.81","0.96","6","5.7688"
"11.01","0.96","6","5.7688"
"11.22","0.96","6","5.7688"
"11.43","0.96","6","5.7688"
"11.64","0.96","6","5.7688"
"11.85","0.96","6","5.7688"
"12.06","0.96","6","5.7688"
"12.26","0.96","6","5.7688"
"12.47","0.96","6","5.7688"
"12.68","0.96","6","5.7688"
"12.89","0.96","6","5.7688"
"13.1","0.96","6","5.7688"
"13.31","0.96","6","5.7688"
"13.51","0.96","6","5.7688"
"13.72","0.96","6","5.7688"
"13.93","0.96","6","5.7688"
"14.14","0.97","6","5.7901"
"14.35","0.97","6","5.8074"
"14.56","0.97","6","5.8074"
"14.76","0.97","6","5.8074"
"14.97","0.97","6","5.8074"
"15.18","0.97","6","5.8074"
"15.39","0.97","6","5.8074"
"15.6","0.97","6","5.8074"
"15.81","0.97","6","5.8074"
"16.01","0.97","6","5.8074"
"16.22","0.97","6","5.8074"
"16.43","0.97","6","5.8074"
"16.64","0.97","6","5.8074"
"16.85","0.97","6","5.8074"
"17.06","0.97","6","5.8074"
"17.26","0.97","6","5.8074"
"17.47","0.97","6","5.8074"
"17.68","0.97","6","5.8074"
"17.89","0.97","6","5.8074"
"18.1","0.97","6","5.8074"
"18.31","0.97","6","5.8074"
"18.51","0.97","6","5.8074"
"18.72","0.97","6","5.8074"
"18.93","0.97","6","5.8074"
"19.14","0.97","6","5.8074"
"19.35","0.97","6","5.8074"
"19.56","0.97","6","5.8074"
"19.76","0.97","6","5.8074"
"19.97","0.97","6","5.8074"
"20.18","0.97","6","5.8074"
"20.39","0.97","6","5.8074"
"20.6","0.97","6","5.8074"
"20.81","0.97","6","5.8074"
"21.01","0.97","6","5.8074"
"21.22","0.97","6","5.8074"
"21.43","0.97","6","5.8074"
"21.64","0.97","6","5.8074"
"21.85","0.97","6","5.8074"
"22.06","0.97","6","5.8074"
"22.26","0.97","6","5.8074"
"22.47","0.97","6","5.8074"
"22.68","0.97","6","5.8074"
"22.89","0.97","6","5.8074"
"23.1","0.97","6","5.8074"
"23.31","0.97","6","5.8074"
"23.51","0.97","6","5.8074"
"23.72","0.97","6","5.8074"
"23.93","0.97","6","5.8074"
"24.14","0.54","4.8","2.9343"
"24.35","0.25","4","1.0189"
"24.56","0.25","4","1.0189"
"24.76","0.25","4","1.0189"
"24.97","0.25","4","1.0189"
"25.18","0.25","4","1.0189"
"25.39","0.25","4","1.0189"
"25.6","0.25","4","1.0189"
"25.81","0.25","4","1.0189"
"26.01","0.25","4","1.0189"
"26.22","0.25","4","1.0189"
"26.43","0.25","4","1.0189"
"26.64","0.25","4","1.0189"
"26.85","0.25","4","1.0189"
"27.06","0.25","4","1.0189"
"27.26","0.25","4","1.0189"
"27.47","0.25","4","1.0189"
"27.68","0.25","4","1.0189"
"27.89","0.25","4","1.0189"
"28.1","0.25","4","1.0189"
"28.31","0.25","4","1.0189"
"28.51","0.25","4","1.0189"
"28.72","0.25","4","1.0189"
"28.93","0.25","4","1.0189"
"29.14","0.25","4","1.0189"
"29.35","0.25","4","1.0189"
"29.56","0.25","4","1.0189"
"29.76","0.25","4","1.0189"
"29.97","0.25","4","1.0189"
"30.18","0.25","4","1.0189"
"30.39","0.25","4","1.0189"
"30.6","0.25","4","1.0189"
"30.81","0.25","4","1.0189"
"31.01","0.25","4","1.0189"
"31.22","0.25","4","1.0189"
"31.43","0.25","4","1.0189"
"31.64","0.25","4","1.0189"
"31.85","0.25","4","1.0189"
"32.06","0.25","4","1.0189"
"32.26","0.25","4","1.0189"
"32.47","0.25","4","1.0189"
"32.68","0.25","4","1.0189"
"32.89","0.25","4","1.0189"
"33.1","0.25","4","1.0189"
"33.31","0.25","4","1.0189"
"33.51","0.25","4","1.0189"
"33.72","0.25","4","1.0189"
"33.93","0.25","4","1.0189"
"34.14","0.25","4","1.0189"
"34.35","0.25","4","1.0189"
"34.56","0.25","4","1.0189"
"34.76","0.25","4","1.0189"
"34.97","0.25","4","1.0189"
"35.18","0.14","2.4","0.373"
"35.39","0.11","2","0.2115"
"35.6","0.11","2","0.2115"
"35.81","0.11","2","0.2115"
"36.01","0.11","2","0.2115"
"36.22","0.13","2","0.2501"
"36.43","0.13","2","0.2501"
"36.64","0.13","2","0.2501"
"36.85","0.13","2","0.2501"
"37.06","0.13","2","0.2501"
"37.26","0.13","2","0.2501"
"37.47","0.13","2","0.2501"
"37.68","0.13","2","0.2501"
"37.89","0.13","2","0.2501"
"38.1","0.13","2","0.2501"
"38.31","0.13","2","0.2501"
"38.51","0.13","2","0.2501"
"38.72","0.13","2","0.2501"
"38.93","0.13","2","0.2501"
"39.14","0.13","2","0.2501"
"39.35","0.13","2","0.2501"
"39.56","0.13","2","0.2501"
"39.76","0.13","2","0.2501"
"39.97","0.13","2","0.2501"
"40.18","0.13","2","0.2501"
"40.39","0.13","2","0.2501"
"40.6","0.13","2","0.2501"
"40.81","0.13","2","0.2501"
"41.01","0.13","2","0.2501"
"41.22","0.13","2","0.2501"
"41.43","0.13","2","0.2501"
"41.64","0.13","2","0.2501"
"41.85","0.13","2","0.2501"
"42.06","0.38","2.3","0.9735"
"42.26","0.71","3","2.1397"
"42.47","0.71","3","2.1397"
"42.68","0.71","3","2.1397"
"42.89","0.71","3","2.1397"
"43.1","0.71","3","2.1397"
"43.31","0.71","3","2.1397"
"43.51","0.71","3","2.1397"
"43.72","0.71","3","2.1397"
"43.93","0.71","3","2.1397"
"44.14","0.71","3","2.1397"
"44.35","0.71","3","2.1397"
"44.56","0.71","3","2.1397"
"44.76","0.71","3","2.1397"
"44.97","0.71","3","2.1397"
"45.18","0.71","3","2.1397"
"45.39","0.71","3","2.1397"
"45.6","0.71","3","2.1397"
"45.81","0.71","3","2.1397"
"46.01","0.71","3","2.1397"
"46.22","0.71","3","2.1397"
"46.43","0.71","3","2.1397"
"46.64","0.71","3","2.1397"
"46.85","0.71","3","2.1397"
"47.06","0.72","3","2.1617"
"47.26","0.76","3","2.2843"
"47.47","0.76","3","2.2843"
"47.68","0.76","3","2.2843"
"47.89","0.76","3","2.2843"
"48.1","0.76","3","2.2843"
"48.31","0.76","3","2.2843"
"48.51","0.76","3","2.2843"
"48.72","0.76","3","2.2843"
"48.93","0.76","3","2.2843"
"49.14","0.76","3","2.2843"
"49.35","0.76","3","2.2843"
"49.56","0.76","3","2.2843"
"49.76","0.76","3","2.2843"
"49.97","0.76","3","2.2843"
"50.18","0.76","3","2.2843"
"50.39","0.76","3","2.2843"
"50.6","0.76","3","2.2843"
"50.81","0.76","3","2.2843"
"51.01","0.76","3","2.2843"
"51.22","0.76","3","2.2843"
"51.43","0.76","3","2.2843"
"51.64","0.81","3","2.4343"
"51.85","0.84","3","2.5343"
"52.06","0.84","3","2.5343"
"52.26","0.84","3","2.5343"
"52.47","0.84","3","2.5343"
"52.68","0.84","3","2.5343"
"52.89","0.91","3","2.7323"
"53.1","0.93","3","2.7843"
"53.31","0.93","3","2.7843"
"53.51","0.93","3","2.7843"
"53.72","0.93","3","2.7843"
"53.93","0.93","3","2.7843"
"54.14","0.93","3","2.7843"
"54.35","0.93","3","2.7843"
"54.56","0.93","3","2.7843"
"54.76","0.93","3","2.801"
"54.97","0.94","3","2.8091"
"55.18","0.94","3","2.8091"
"55.39","0.94","3","2.8091"
"55.6","0.94","3","2.8091"
"55.81","0.94","3","2.8091"
"56.01","0.94","3","2.8091"
"56.22","0.94","3","2.8091"
"56.43","0.94","3","2.8091"
"56.64","0.94","3","2.8091"
"56.85","0.94","3","2.8091"
"57.06","0.85","3","2.5423"
"57.26","0.35","3","1.0539"
"57.47","0.35","3","1.0539"
"57.68","0.35","3","1.0539"
"57.89","0.35","3","1.0539"
"58.1","0.39","3","1.1555"
"58.31","0.45","3","1.3425"
"58.51","0.45","3","1.3425"
"58.72","0.45","3","1.3425"
"58.93","0.45","3","1.3425"
"59.14","0.45","3","1.3425"
"59.35","0.45","3","1.3425"
"59.56","0.45","3","1.3425"
"59.76","0.45","3","1.3425"
"59.97","0.45","3","1.3425"
"60.18","0.45","3","1.3425"
"60.39","0.45","3","1.3425"
"60.6","0.45","3","1.3425"
"60.81","0.45","3","1.3425"
"61.01","0.45","3","1.3425"
"61.22","0.45","3","1.3425"
"61.43","0.45","3","1.3425"
"61.64","0.45","3","1.3425"
"61.85","0.45","3","1.3425"
"62.06","0.45","3","1.3425"
"62.26","0.45","3","1.3425"
"62.47","0.45","3","1.3425"
"62.68","0.45","3","1.3425"
"62.89","0.47","3","1.4205"
"63.1","0.53","3","1.5925"
"63.31","0.53","3","1.5925"
"63.51","0.53","3","1.5925"
"63.72","0.53","3","1.5925"
"63.93","0.53","3","1.5925"
"64.14","0.53","3","1.5925"
"64.35","0.53","3","1.5925"
"64.56","0.53","3","1.5925"
"64.76","0.53","3","1.5925"
"64.97","0.53","3","1.5925"
"65.18","0.53","3","1.5925"
"65.39","0.53","3","1.5925"
"65.6","0.53","3","1.5925"
"65.81","0.53","3","1.5925"
"66.01","0.53","3","1.5925"
"66.22","0.53","3","1.5925"
"66.43","0.53","3","1.5925"
"66.64","0.53","3","1.5925"
"66.85","0.53","3","1.5925"
"67.06","0.53","3","1.5925"
"67.26","0.53","3","1.5925"
"67.47","0.53","3","1.5925"
"67.68","0.53","3","1.5925"
"67.89","0.53","3","1.5925"
"68.1","0.5","2.65","1.3469"
"68.31","0.45","2","0.8948"
"68.51","0.45","2","0.8948"
"68.72","0.45","2","0.8948"
"68.93","0.45","2","0.8948"
"69.14","0.59","2","1.1708"
"69.35","0.7","2","1.3948"
"69.56","0.7","2","1.3948"
"69.76","0.7","2","1.3948"
"69.97","0.7","2","1.3948"
"70.18","0.7","2","1.3948"
"70.39","0.7","2","1.3948"
"70.6","0.7","2","1.3948"
"70.81","0.7","2","1.3948"
"71.01","0.7","2","1.3948"
"71.22","0.7","2","1.3948"
"71.43","0.7","2","1.3948"
"71.64","0.7","2","1.3948"
"71.85","0.7","2","1.3948"
"72.06","0.7","2","1.3948"
"72.26","0.7","2","1.3948"
"72.47","0.7","2","1.3948"
"72.68","0.7","2","1.3948"
"72.89","0.7","2","1.3948"
"73.1","0.7","2","1.3948"
"73.31","0.7","2","1.3948"
"73.51","0.7","2","1.3948"
