"Request ID","Function ID","Arrival Time","Start Time","Finish Time","ExecutionTime","Response Time"
"2","23","1","3.02","3.27","0.25","2.27"
"13","17","1.04","3.06","3.32","0.26","2.28"
"11","1","1.02","3.04","3.48","0.44","2.46"
"6","9","1","3.02","3.7","0.68","2.7"
"12","23","1.03","3.05","3.74","0.69","2.71"
"4","9","1","3.02","3.77","0.75","2.77"
"14","9","1.06","3.08","3.78","0.7","2.72"
"18","9","1.17","3.19","4.28","1.09","3.11"
"7","9","1","3.03","4.54","1.52","3.54"
"15","9","1.06","3.08","4.61","1.52","3.55"
"16","9","1.08","3.1","4.62","1.52","3.54"
"21","9","1.94","3.96","4.66","0.7","2.72"
"22","9","1.95","3.97","4.87","0.9","2.92"
"3","10","1","3.02","4.91","1.89","3.91"
"35","23","3.87","3.89","4.92","1.03","1.05"
"20","9","1.93","3.95","4.99","1.04","3.06"
"25","9","2.18","4.2","5","0.8","2.82"
"23","9","1.96","3.98","5.02","1.04","3.06"
"37","9","4.31","4.33","5.13","0.8","0.82"
"24","9","2.17","4.19","5.23","1.04","3.06"
"10","10","1.01","3.03","5.25","2.22","4.24"
"27","9","2.6","4.62","5.39","0.77","2.79"
"38","9","4.55","4.57","5.65","1.08","1.1"
"26","10","2.48","4.5","5.72","1.22","3.24"
"30","9","3.11","5.13","5.81","0.67","2.7"
"29","9","3.11","5.13","5.99","0.86","2.88"
"28","9","2.98","5","6.05","1.05","3.07"
"31","9","3.32","5.34","6.11","0.77","2.79"
"32","9","3.38","5.4","6.17","0.77","2.79"
"36","16","4.08","6.1","6.32","0.22","2.24"
"41","9","5","5.02","6.54","1.52","1.54"
"44","23","5.61","5.63","6.66","1.03","1.05"
"42","9","5.19","5.21","6.72","1.51","1.53"
"46","9","6.06","6.08","6.78","0.7","0.72"
"47","9","6.26","6.28","7.18","0.9","0.92"
"45","9","5.84","5.86","7.37","1.51","1.53"
"48","9","6.47","6.49","7.53","1.04","1.06"
"43","3","5.39","7.41","7.6","0.19","2.21"
"39","10","4.62","6.64","7.86","1.22","3.24"
"51","23","13.39","13.41","13.67","0.26","0.28"
"50","9","13.39","13.41","14.3","0.89","0.91"
"8","22","1.01","3.03","14.85","11.82","13.84"
"1","9","1","3.02","16.9","13.88","15.9"
"5","9","1","3.02","16.9","13.88","15.9"
"9","9","1.01","3.03","16.98","13.95","15.97"
"17","9","1.13","3.15","17.18","14.03","16.05"
