"Request ID","Function ID","Arrival Time","Start Time","Finish Time","ExecutionTime","Response Time"
"1","9","1","3.02","16.54","13.52","15.54"
"2","23","1","3.02","4.59","1.57","3.59"
"3","10","1","3.02","4.76","1.74","3.76"
"4","9","1","3.02","4.49","1.47","3.49"
"5","9","1","3.02","4.08","1.05","3.08"
"6","9","1","3.02","16.55","13.52","15.55"
"7","9","1","3.03","3.77","0.74","2.77"
"8","22","1.01","3.03","3.49","0.46","2.48"
"9","9","1.01","3.03","4.5","1.47","3.49"
"10","10","1.01","3.03","4.9","1.86","3.89"
"11","1","1.02","3.04","5.5","2.46","4.48"
"12","23","1.03","3.05","3.71","0.66","2.68"
"13","17","1.04","3.06","4.06","1","3.02"
"14","9","1.06","3.08","4.55","1.47","3.49"
"15","9","1.06","3.08","3.76","0.67","2.7"
"16","9","1.08","3.1","4.57","1.47","3.49"
"17","9","1.13","3.15","16.67","13.52","15.54"
"18","9","1.17","3.19","3.96","0.77","2.79"
"19","9","1.54","3.56","4.23","0.67","2.69"
"20","9","1.93","3.95","17.47","13.52","15.54"
"21","9","1.94","3.96","17.48","13.52","15.54"
"22","9","1.95","3.97","5.02","1.05","3.07"
"23","9","1.96","3.98","4.84","0.86","2.88"
"24","9","2.17","4.19","5.05","0.86","2.88"
"25","9","2.18","4.2","17.72","13.52","15.54"
"26","10","2.48","4.5","5.95","1.45","3.47"
"27","9","2.6","4.62","5.39","0.77","2.79"
"28","9","2.98","5","6","1","3.02"
"29","9","3.11","5.13","5.99","0.86","2.88"
"30","9","3.11","5.13","6.13","1","3.02"
"31","9","3.32","5.34","6.34","1","3.02"
"32","9","3.38","5.4","18.92","13.52","15.54"
"33","9","3.5","5.52","6.52","1","3.02"
"34","23","3.58","5.6","24.78","19.18","21.2"
"36","16","4.08","6.1","7.1","1","3.02"
"39","10","4.62","6.64","7.86","1.22","3.24"
"43","3","5.39","7.41","7.93","0.52","2.54"
"53","23","35.54","37.56","38.56","1","3.02"
"55","9","41.79","43.81","57.33","13.52","15.54"
"57","9","41.92","43.94","44.71","0.77","2.79"
"58","9","41.92","43.94","57.46","13.52","15.54"
"59","8","41.96","43.98","49.49","5.51","7.53"
"60","9","41.96","43.98","44.72","0.74","2.76"
"61","9","41.96","43.98","57.5","13.52","15.54"
"62","9","41.96","43.98","44.66","0.67","2.7"
"63","17","41.96","43.98","44.25","0.26","2.29"
"64","9","41.96","43.98","44.73","0.74","2.77"
"65","9","41.96","43.99","45.46","1.47","3.5"
"66","9","41.96","43.99","57.51","13.52","15.55"
"67","9","41.96","43.99","57.51","13.52","15.55"
"68","11","41.97","43.99","44.1","0.11","2.13"
"69","9","41.97","43.99","45.46","1.47","3.49"
"70","23","41.99","44.01","44.32","0.31","2.33"
"71","10","51.49","53.51","65.39","11.88","13.9"
"73","1","52.7","54.72","55.13","0.41","2.43"
"74","16","54.6","56.62","56.84","0.22","2.24"
"75","10","62.71","64.73","66.47","1.74","3.76"
"76","10","62.8","64.82","76.7","11.88","13.9"
"79","9","85.22","87.24","88.1","0.86","2.88"
"81","21","93.44","95.46","95.65","0.19","2.21"
"82","9","101.37","103.39","104.25","0.86","2.88"
"85","9","114.17","116.19","116.96","0.77","2.79"
"86","9","114.24","116.26","117","0.74","2.76"
"87","10","116.44","118.46","128.11","9.65","11.67"
"89","23","122.61","124.63","124.92","0.29","2.31"
"92","10","123.99","126.01","127.46","1.45","3.47"
"93","10","124.21","126.23","127.45","1.22","3.24"
"95","10","124.62","126.64","136.29","9.65","11.67"
"97","9","125.1","127.12","128.59","1.47","3.49"
"98","9","125.39","127.41","128.27","0.86","2.88"
"99","1","125.67","127.69","128.16","0.47","2.49"
"101","3","126.21","128.23","129.57","1.34","3.36"
"104","9","126.98","129","142.52","13.52","15.54"
"106","9","127.26","129.28","130.05","0.77","2.79"
"113","23","141.35","143.37","143.62","0.25","2.27"
"114","16","142","144.02","144.63","0.61","2.63"
"116","22","149.09","151.11","154.29","3.18","5.2"
"117","13","151.29","153.31","154.66","1.35","3.37"
"119","23","157.17","159.19","159.5","0.31","2.33"
"121","16","161.41","163.43","165.07","1.64","3.66"
"124","9","167.17","169.19","170.24","1.05","3.07"
"126","9","170.05","172.07","173.12","1.05","3.07"
"128","19","171.05","173.07","173.12","0.05","2.07"
"129","1","171.39","173.41","173.82","0.41","2.43"
"135","23","181","183.02","183.31","0.29","2.31"
"138","10","187.43","189.45","190.95","1.5","3.52"
"142","9","192","194.02","194.69","0.67","2.69"
"143","9","193.69","195.71","196.39","0.68","2.7"
"146","7","202.45","204.47","205.47","1","3.02"
"151","23","208.41","210.43","210.68","0.25","2.27"
"155","23","220.84","222.86","223.15","0.29","2.31"
"157","10","220.97","222.99","224.21","1.22","3.24"
"158","10","222.06","224.08","233.73","9.65","11.67"
"162","9","228.81","230.83","231.57","0.74","2.76"
"164","9","230.79","232.81","246.33","13.52","15.54"
