"clock","utilization","count","workload usage"
"1.38","0.16","1.26","0.1831"
"1.69","0.14","2.72","0.3915"
"2","0.16","3.72","0.586"
"2.31","0.16","6.09","0.9956"
"2.63","0.16","7.68","1.2534"
"2.94","0.16","8.56","1.3973"
"3.25","0.17","10.96","1.911"
"3.56","0.16","13.79","2.1925"
"3.88","0.16","15.84","2.5263"
"4.19","0.16","17.34","2.7864"
"4.5","0.16","18","2.8998"
"4.81","0.16","20.11","3.2651"
"5.13","0.16","21","3.4186"
"5.44","0.16","21","3.4186"
"5.75","0.16","21.7","3.539"
"6.06","0.16","22","3.5916"
"6.38","0.16","22","3.5916"
"6.69","0.16","22.3","3.6441"
"7","0.16","23.15","3.7704"
"7.31","0.15","25.92","3.8639"
"7.63","0.15","26","3.8665"
"7.94","0.15","26.5","3.8915"
"8.25","0.14","27.98","3.955"
"8.56","0.14","28.13","3.9605"
"8.88","0.14","29","3.9942"
"9.19","0.14","29.5","4.0133"
"9.5","0.13","30.92","4.0683"
"9.81","0.13","31","4.0714"
"10.13","0.13","31.49","4.142"
"10.44","0.13","32","4.216"
"10.75","0.13","32","4.216"
"11.06","0.13","32","4.216"
"11.38","0.13","32","4.216"
"11.69","0.13","32","4.216"
"12","0.13","32","4.216"
"12.31","0.13","32","4.2393"
"12.63","0.13","32","4.2564"
"12.94","0.14","32","4.3884"
"13.25","0.16","32","5.0064"
"13.56","0.16","32","5.078"
"13.88","0.16","32","5.21"
"14.19","0.17","32","5.446"
"14.5","0.17","32","5.46"
"14.81","0.18","32","5.86"
"15.13","0.19","32","6.1028"
"15.44","0.19","32","6.1133"
"15.75","0.19","32","6.1133"
"16.06","0.19","32","6.1133"
"16.38","0.19","32","6.1133"
"16.69","0.19","32","6.1133"
"17","0.19","32","6.1133"
"17.31","0.19","32","6.1133"
"17.63","0.19","32","6.1428"
"17.94","0.2","31.09","6.1468"
"18.25","0.2","31","6.3376"
"18.56","0.21","30.17","6.1937"
"18.88","0.21","30","6.1646"
"19.19","0.21","30","6.2246"
"19.5","0.21","29.24","6.2832"
"19.81","0.22","29","6.2417"
"20.13","0.22","29","6.2417"
"20.44","0.22","29","6.2417"
"20.75","0.22","29","6.2417"
"21.06","0.22","29","6.2627"
"21.38","0.22","29","6.2803"
"21.69","0.22","29","6.2703"
"22","0.22","29","6.3067"
"22.31","0.22","29","6.3092"
"22.63","0.22","29","6.3327"
"22.94","0.22","29","6.4821"
"23.25","0.22","29","6.4821"
"23.56","0.22","29","6.4917"
"23.88","0.22","29","6.5052"
"24.19","0.22","29","6.5052"
"24.5","0.22","29","6.5043"
"24.81","0.22","29","6.4649"
"25.13","0.22","28.99","6.4645"
"25.44","0.23","28","6.4143"
"25.75","0.23","28","6.4143"
